Year,period,code,carrier,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2012,9,UA,United Air Lines Inc.,563,97,32,1,39,0,25,3,1,5234,1741,90,1649,11,1743
2012,9,WN,Southwest Airlines Co.,1168,151,41,5,31,1,73,4,1,7210,1803,363,1268,22,3755
2012,10,AA,American Airlines Inc.,560,164,54,2,60,0,48,16,1,7902,2973,118,1996,2,2813
2012,10,B6,JetBlue Airways,357,67,21,1,25,0,20,26,1,3323,1241,35,928,9,1111
2012,10,DL,Delta Air Lines Inc.,507,63,19,1,24,0,19,10,1,2992,1222,57,773,1,939
2012,10,UA,United Air Lines Inc.,577,107,36,1,41,0,28,27,1,5817,1944,117,1680,13,2063
2012,10,WN,Southwest Airlines Co.,1247,195,59,4,38,1,93,22,2,8856,2586,276,1410,26,4558
2012,11,AA,American Airlines Inc.,538,104,40,1,31,0,32,4,1,5044,2104,65,1040,2,1833
2012,11,B6,JetBlue Airways,370,60,22,1,17,0,19,6,1,3510,1303,152,709,7,1339
2012,11,DL,Delta Air Lines Inc.,473,42,15,1,15,0,12,2,1,2167,1001,54,478,2,631
2012,11,UA,United Air Lines Inc.,530,69,27,0,22,0,19,8,0,3928,1588,36,916,6,1382
2012,11,WN,Southwest Airlines Co.,1157,154,52,3,25,1,74,6,1,7641,2321,267,957,18,4077
2012,12,AA,American Airlines Inc.,546,123,40,4,35,0,43,11,1,6830,2312,355,1470,3,2690
2012,12,B6,JetBlue Airways,390,114,37,1,34,0,42,1,1,7328,2443,73,1605,11,3197
2012,12,DL,Delta Air Lines Inc.,438,62,19,1,24,0,18,1,0,3310,1229,123,926,1,1030
2012,12,UA,United Air Lines Inc.,506,104,37,2,37,0,28,4,1,5859,2023,123,1567,4,2143
2012,12,WN,Southwest Airlines Co.,1185,291,91,6,45,2,147,16,3,14068,4090,501,1777,59,7641
2013,1,AA,American Airlines Inc.,547,101,32,4,31,0,34,11,1,5202,1792,281,1153,14,1963
2013,1,B6,JetBlue Airways,378,80,27,1,27,0,25,1,1,4347,1655,56,1066,7,1563
2013,1,DL,Delta Air Lines Inc.,437,52,17,2,21,0,11,2,1,3000,1196,246,819,2,737
2013,1,UA,United Air Lines Inc.,476,78,25,2,31,0,19,3,1,3978,1300,157,1174,3,1344
2013,1,WN,Southwest Airlines Co.,1143,164,52,3,37,1,71,7,1,6684,2166,231,1211,22,3053
2013,2,AA,American Airlines Inc.,497,94,28,5,28,0,33,10,1,4972,1628,274,1105,1,1963
2013,2,B6,JetBlue Airways,342,92,30,1,31,0,31,13,1,5164,1758,50,1291,5,2061
2013,2,DL,Delta Air Lines Inc.,413,52,17,2,21,0,13,4,0,2795,1267,124,746,1,658
2013,2,UA,United Air Lines Inc.,448,76,24,3,29,0,20,9,1,3947,1285,201,1090,2,1369
2013,2,WN,Southwest Airlines Co.,1066,143,43,4,31,0,64,20,2,5733,1759,255,1003,15,2701
2013,3,AA,American Airlines Inc.,556,95,28,4,29,0,34,5,1,5367,1631,278,1228,3,2227
2013,3,B6,JetBlue Airways,401,108,33,1,35,0,38,3,1,6845,2044,151,1686,18,2947
2013,3,DL,Delta Air Lines Inc.,477,67,24,2,24,0,17,4,1,3965,1626,320,958,1,1060
2013,3,UA,United Air Lines Inc.,544,96,32,2,34,0,28,8,1,5289,1719,153,1455,5,1958
