NCode,Year,Month,difference,Carrier_delay,Weather_delay,NAS_delay,Security_delay,Late_aircraft_delay,inc_dec
5,2010,4,-309343,626,61,633,14,983,Decrease
5,2011,4,-261094,750,80,1231,1,1521,Decrease
5,2012,4,3733565,1621,63,1299,10,1782,Increase
5,2013,4,-550484,2024,235,2470,7,2685,Decrease
5,2014,4,105892,1400,103,1607,0,1635,Increase
5,2015,4,288099,2149,226,1441,0,2513,Increase
5,2016,4,116857,1344,156,1102,0,1850,Increase
5,2017,4,948203,1288,102,2287,0,2127,Increase
5,2018,4,470806,1242,231,1733,0,2050,Increase
5,2010,5,-93925,858,154,1137,0,1613,Decrease
5,2011,5,-306386,1042,193,1607,4,2037,Decrease
5,2012,5,3719297,2205,223,2068,8,2395,Increase
5,2013,5,-286484,1678,167,2166,3,2100,Decrease
5,2014,5,185914,2058,296,2527,0,2940,Increase
5,2015,5,297076,2380,511,1958,5,3376,Increase
5,2016,5,275586,1665,289,1411,0,2327,Increase
5,2017,5,670322,1506,219,2519,0,2235,Increase
5,2018,5,500525,1665,506,2793,0,3020,Increase
5,2010,6,-249878,1096,173,1497,0,2350,Decrease
5,2011,6,-236423,1704,181,1658,1,3074,Decrease
5,2012,6,3846919,3276,219,2116,12,4209,Increase
5,2013,6,-311418,2682,372,2782,4,4323,Decrease
5,2014,6,79748,2817,527,2643,0,3914,Increase
5,2015,6,448756,3882,542,2505,0,5588,Increase
5,2016,6,427395,2081,416,1729,0,2982,Increase
5,2017,6,908511,1932,304,2472,1,3060,Increase
5,2018,6,598469,1916,480,2486,0,3810,Increase
5,2010,7,-370775,1078,178,980,0,1983,Decrease
5,2011,7,-149715,1585,191,1413,0,3368,Decrease
5,2012,7,3942915,4349,491,3169,12,6394,Increase
5,2013,7,-411985,2496,306,2879,2,3722,Decrease
5,2014,7,174559,2519,474,2160,1,3526,Increase
5,2015,7,629083,3394,305,1794,0,4457,Increase
5,2016,7,395182,2512,695,2357,0,3893,Increase
5,2017,7,997255,2001,524,2458,0,3762,Increase
5,2018,7,682700,2237,601,2571,0,4268,Increase
5,2010,8,-275931,842,86,894,0,1602,Decrease
5,2011,8,-291940,1275,216,1334,1,2170,Decrease
5,2012,8,3886526,3439,213,2088,45,4157,Increase
5,2013,8,-327526,1958,231,1808,5,2638,Decrease
5,2014,8,59709,2213,357,1959,0,3039,Increase
5,2015,8,525889,2317,354,1592,9,2940,Increase
5,2016,8,470102,2175,370,2152,20,3455,Increase
5,2017,8,669949,1523,509,2251,1,2758,Increase
5,2018,8,770099,2439,795,3569,0,4838,Increase
5,2010,9,-10553,564,55,710,4,737,Decrease
5,2011,9,-305447,844,90,1139,0,1026,Decrease
5,2012,9,3062005,1741,90,1649,11,1743,Increase
5,2013,9,-123988,1326,212,1571,3,1716,Decrease
5,2014,9,96425,1526,183,1880,1,1971,Increase
5,2015,9,502680,1384,125,980,1,1524,Increase
5,2016,9,752040,1667,178,1392,0,1996,Increase
5,2017,9,54578,906,89,1264,0,1136,Increase
5,2018,9,585443,1435,457,2092,0,2176,Increase
5,2010,10,4703,584,31,760,0,837,Increase
5,2011,10,-481804,882,59,1035,0,1108,Decrease
5,2012,10,3157762,1944,117,1680,13,2063,Increase
5,2013,10,91964,1416,61,1338,4,1525,Increase
5,2014,10,115867,2164,163,2287,0,2596,Increase
5,2015,10,758059,1491,66,887,0,1591,Increase
5,2016,10,500111,1721,47,1635,1,2240,Increase
5,2017,10,313577,1071,174,1912,1,1720,Increase
5,2018,10,678829,1374,216,1861,0,2085,Increase
5,2010,11,66266,455,20,544,0,584,Increase
5,2011,11,-416247,702,13,997,0,1035,Decrease
5,2012,11,3191290,1588,36,916,6,1382,Increase
5,2013,11,-39861,1365,127,1137,42,1532,Decrease
5,2014,11,26199,1958,242,1478,0,2223,Increase
5,2015,11,741567,1702,267,1431,1,2177,Increase
5,2016,11,524344,1342,140,1260,0,1684,Increase
5,2017,11,596991,996,29,1402,0,1480,Increase
5,2018,11,519847,1625,495,2414,0,2716,Increase
5,2010,12,-105111,757,86,1072,0,1159,Decrease
5,2011,12,-252512,932,57,698,0,996,Decrease
5,2012,12,3274772,2023,123,1567,4,2143,Increase
5,2013,12,328065,2439,284,1633,0,2377,Increase
5,2014,12,-80594,2607,119,2524,1,2852,Decrease
5,2015,12,571349,2477,400,1764,0,3383,Increase
5,2016,12,476508,2171,556,1973,2,3015,Increase
5,2017,12,500538,1204,307,1501,0,1587,Increase
5,2018,12,446852,1516,148,1891,0,2371,Increase
4,2010,1,582447,2867,516,1697,42,5714,Increase
4,2011,1,731306,4144,357,1598,71,7655,Increase
4,2012,1,-137356,1914,415,1279,11,3419,Decrease
4,2013,1,-122488,2166,231,1211,22,3053,Decrease
4,2014,1,521574,5743,546,2267,28,11020,Increase
4,2015,1,1467339,3230,326,1520,10,5487,Increase
4,2016,1,887718,2515,283,1172,13,3643,Increase
4,2017,1,400277,3346,621,2766,9,7315,Increase
4,2018,1,674047,2821,163,1784,26,4330,Increase
4,2010,2,-104743,2234,446,1377,24,4611,Decrease
4,2011,2,638960,3370,354,1790,49,7413,Increase
4,2012,2,448111,1714,180,789,13,2494,Increase
4,2013,2,-158379,1759,255,1003,15,2701,Decrease
4,2014,2,490431,3371,350,1659,9,6490,Increase
4,2015,2,1153035,2928,387,1505,4,4519,Increase
4,2016,2,1055443,1855,360,961,7,2734,Increase
4,2017,2,71949,1877,342,1756,2,3812,Increase
4,2018,2,564615,3275,187,2003,29,5023,Increase
4,2010,3,166770,3555,414,1510,36,6556,Increase
4,2011,3,534388,3512,421,1766,32,7761,Increase
4,2012,3,56251,2553,408,1390,17,4567,Increase
4,2013,3,502256,2759,476,1729,25,5717,Increase
4,2014,3,696013,4056,275,1685,9,7769,Increase
4,2015,3,1582910,3851,327,1485,21,5780,Increase
4,2016,3,586465,2904,501,1935,14,5442,Increase
4,2017,3,477683,2659,425,2204,10,5489,Increase
4,2018,3,726088,4085,213,1828,41,6112,Increase
4,2010,4,96988,2756,296,1011,38,4603,Increase
4,2011,4,312186,4491,491,1901,53,9520,Increase
4,2012,4,147368,2712,231,859,26,3876,Increase
